Metropolitan Area,City,STATE,Metro / Micro,Customers (State Level),Gross Sales (State Level),Total households,Owner-occupied housing units with a mortgage,"VALUE!!$1,000,000 or more",% Houses >$1m,VALUE!!Median (dollars)
"Emporia, KS Micro Area",Emporia,KS,Micro,0,0,14628,4233,7,0.001653674,153300
"Poplar Bluff, MO Micro Area",Poplar Bluff,MO,Micro,0,0,16594,5476,9,0.001643535,144700
"Ponca City, OK Micro Area",Ponca City,OK,Micro,0,0,16776,4922,8,0.001625356,145600
"Logansport, IN Micro Area",Logansport,IN,Micro,0,0,15037,6202,10,0.001612383,153200
"Alamogordo, NM Micro Area",Alamogordo,NM,Micro,0,0,24480,7473,12,0.001605781,189200
"Urbana, OH Micro Area",Urbana,OH,Micro,50,336933,15646,6860,11,0.001603499,211600
"Woodward, OK Micro Area",Woodward,OK,Micro,2,12595,7925,2651,4,0.001508865,178100
"Frankfort, IN Micro Area",Frankfort,IN,Micro,2,58825,12496,5370,8,0.001489758,175600
"North Platte, NE Micro Area",North Platte,NE,Micro,2,2300,15189,5391,8,0.001483955,193600
"Quincy, IL-MO Micro Area",Quincy,IL-MO,Micro,1,3300,31100,12233,18,0.00147143,166600
"Picayune, MS Micro Area",Picayune,MS,Micro,0,0,21880,7676,11,0.001433038,198100
"Seymour, IN Micro Area",Seymour,IN,Micro,0,0,18138,7705,11,0.001427644,190000
"Hereford, TX Micro Area",Hereford,TX,Micro,50,336933,6051,1404,2,0.001424501,187300
"Sault Ste. Marie, MI Micro Area",Sault Ste. Marie,MI,Micro,2,2300,14080,5649,8,0.00141618,164600
"Altoona, PA Metro Area",Altoona,PA,Metro,50,336933,50558,19487,27,0.001385539,170500
"Centralia, IL Micro Area",Centralia,IL,Micro,4,3425,15512,5894,8,0.001357313,121700
"Price, UT Micro Area",Price,UT,Micro,0,0,8123,3018,4,0.001325381,238700
"El Dorado, AR Micro Area",El Dorado,AR,Micro,2,2300,15002,4804,6,0.001248959,140700
"Aguadilla, PR Metro Area",Aguadilla,PR,Metro,1,425,94130,16773,18,0.001073153,158900
"Big Spring, TX Micro Area",Big Spring,TX,Micro,0,0,12191,3749,4,0.001066951,178300
"Pontiac, IL Micro Area",Pontiac,IL,Micro,0,0,14615,5645,6,0.001062888,158100
"Rome, GA Metro Area",Rome,GA,Metro,0,0,36856,12253,13,0.001060965,230900
"Iron Mountain, MI-WI Micro Area",Iron Mountain,MI-WI,Micro,18,43250,14102,5736,6,0.001046025,167500
